                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  1.356,                0.86549,                  1.209,                0.90593,                0.85629,                0.92396,                0.62233,                 1.1586,                0.62833,                  1.088,               0.003862,               0.003862,               0.003862
                     64,                  1.355,                 0.8662,                 1.2105,                 0.9049,                0.85684,                0.92448,                0.62233,                 1.1569,                0.62597,                 1.0868,               0.003763,               0.003763,               0.003763
                     65,                 1.3557,                0.86373,                 1.2115,                0.90097,                0.86483,                 0.9258,                0.62366,                 1.1559,                0.62363,                 1.0861,               0.003664,               0.003664,               0.003664
                     66,                 1.3487,                0.85446,                  1.203,                0.90224,                0.86483,                0.92573,                0.62459,                 1.1549,                0.62277,                 1.0854,               0.003565,               0.003565,               0.003565
                     67,                 1.3445,                0.85142,                 1.2016,                0.90178,                0.86428,                0.92676,                0.62572,                 1.1531,                0.62214,                 1.0843,               0.003466,               0.003466,               0.003466
                     68,                 1.3423,                0.84614,                 1.2018,                0.90267,                0.86614,                0.92668,                0.62652,                 1.1521,                 0.6216,                 1.0833,               0.003367,               0.003367,               0.003367
                     69,                 1.3366,                0.84378,                 1.1992,                0.89978,                0.87014,                0.92686,                0.62681,                 1.1525,                0.62049,                 1.0831,               0.003268,               0.003268,               0.003268
                     70,                 1.3376,                0.84437,                 1.1994,                0.90046,                0.86892,                0.92671,                0.62705,                 1.1509,                   0.62,                 1.0823,               0.003169,               0.003169,               0.003169
                     71,                 1.3305,                0.83577,                  1.196,                0.90402,                0.86688,                0.92727,                0.62737,                 1.1498,                  0.619,                 1.0816,                0.00307,                0.00307,                0.00307
                     72,                 1.3229,                0.82965,                  1.193,                0.90431,                0.86682,                0.92764,                0.62745,                 1.1496,                0.61842,                  1.081,               0.002971,               0.002971,               0.002971
                     73,                   1.32,                0.82586,                 1.1888,                0.90861,                0.86391,                0.92744,                0.62767,                 1.1484,                0.61757,                 1.0803,               0.002872,               0.002872,               0.002872
                     74,                 1.3184,                0.82672,                 1.1872,                0.90743,                0.86452,                0.92758,                0.62784,                 1.1481,                0.61696,                 1.0804,               0.002773,               0.002773,               0.002773
                     75,                 1.3157,                0.82314,                 1.1872,                0.90768,                0.86526,                0.92739,                0.62868,                  1.148,                0.61588,                 1.0802,               0.002674,               0.002674,               0.002674
                     76,                 1.3183,                0.82169,                 1.1874,                0.90955,                0.86445,                0.92752,                0.62925,                 1.1472,                0.61518,                 1.0798,               0.002575,               0.002575,               0.002575
                     77,                 1.3045,                0.81316,                 1.1793,                0.91092,                0.86575,                 0.9275,                0.62963,                 1.1462,                0.61457,                  1.079,               0.002476,               0.002476,               0.002476
                     78,                 1.3095,                0.81417,                 1.1828,                0.91052,                0.86502,                0.92781,                0.63016,                 1.1453,                0.61319,                 1.0786,               0.002377,               0.002377,               0.002377
                     79,                 1.3031,                0.81188,                 1.1808,                 0.9109,                0.86555,                  0.928,                0.63057,                  1.144,                0.61147,                  1.078,               0.002278,               0.002278,               0.002278
                     80,                 1.2925,                0.80203,                 1.1736,                0.91074,                0.86575,                0.92821,                0.63061,                  1.143,                0.61043,                 1.0776,               0.002179,               0.002179,               0.002179
                     81,                 1.2881,                0.79589,                 1.1739,                0.91134,                0.86457,                0.92828,                0.63104,                 1.1426,                0.60962,                 1.0773,                0.00208,                0.00208,                0.00208
                     82,                 1.2823,                0.79166,                 1.1666,                0.91252,                0.86483,                0.92797,                0.63126,                  1.142,                0.60864,                 1.0768,               0.001981,               0.001981,               0.001981
